# Secondary + primary spectrum with direct pion emission from MacGibbon and
# Webber 1990 (Phys. Rev. D 41, 3052) fig. 12.
# Columns: E [GeV], d^2N/dEdt [GeV^-1 s^-1]
1.594151977271864723e-02,5.011391868946022400e+18
1.894223053791343342e-02,1.250333113701029274e+19
2.274315846221814513e-02,3.068378042931768525e+19
2.773526809658253406e-02,7.688586788927889408e+19
3.279058312679547504e-02,1.552234186710148710e+20
3.924154723953900137e-02,2.994115722910543380e+20
4.895493503659215789e-02,5.729045504593345249e+20
5.468232365579164811e-02,7.354253453463198106e+20
6.478251824556265082e-02,9.762708479063193027e+20
7.622242417788599456e-02,1.212660258537002500e+21
9.189086237914415034e-02,1.358003150126818787e+21
1.024814380299790689e-01,1.398955294114549072e+21
1.096435268052839557e-01,1.376474129572642423e+21
1.158971896448354466e-01,1.288448600501876687e+21
1.197826344912143598e-01,1.176226121919942099e+21
1.268455507297049922e-01,9.802024216455771587e+20
1.350346645301481463e-01,7.424883776914315018e+20
1.420139060943407250e-01,5.960344400302635745e+20
1.475580730640441984e-01,4.628061321848455823e+20
1.551986505778914227e-01,3.307517931158100378e+20
1.623842612934748575e-01,2.453675214625035059e+20
1.687318714607221604e-01,1.790204823057596744e+20
1.768615144305467901e-01,1.222266623810712699e+20
1.828180036849053058e-01,9.218506341714591744e+19
1.943147515013080029e-01,5.697605984679270810e+19
2.083535535403295280e-01,3.058097485312408371e+19
2.222403244256264121e-01,1.725164153074218394e+19
2.354032677488472336e-01,1.044333591793319936e+19
2.515305623887232334e-01,5.818545374627412992e+18
2.636734128235125874e-01,3.536706845390212608e+18
2.812581790143627858e-01,1.898210976459460096e+18
