Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    1.00000e-07    6.17970e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.64578e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.54299e-20
    1.01932e-07    6.53549e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.85832e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.00231e-20
    1.03901e-07    6.91176e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.07885e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.50806e-20
    1.05908e-07    7.30969e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.30769e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.06494e-20
    1.07954e-07    7.73053e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.54514e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.67813e-20
    1.10039e-07    8.17560e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.79153e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.35331e-20
    1.12165e-07    8.64629e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.04719e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.09675e-20
    1.14331e-07    9.14409e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.31248e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.91536e-20
    1.16540e-07    9.67054e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.58776e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.81674e-20
    1.18791e-07    1.02273e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.87340e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.08092e-19
    1.21086e-07    1.08161e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.16979e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.19021e-19
    1.23425e-07    1.14388e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.47734e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.31054e-19
    1.25809e-07    1.20974e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.79647e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.44304e-19
    1.28239e-07    1.27939e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.12761e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.58894e-19
    1.30717e-07    1.35305e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.47121e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.74959e-19
    1.33242e-07    1.43095e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.82775e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.92648e-19
    1.35816e-07    1.51333e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.01977e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.12125e-19
    1.38439e-07    1.60046e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05816e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.33572e-19
    1.41113e-07    1.69260e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.09799e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.57187e-19
    1.43839e-07    1.79005e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.13933e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.83189e-19
