Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    9.08332e+27    0.00000e+00    7.80788e+20    1.66760e+15    1.60707e+09    0.00000e+00
    1.05200e-06    8.58379e+27    0.00000e+00    1.06769e+21    1.96245e+15    1.77225e+09    0.00000e+00
    1.10700e-06    8.05666e+27    0.00000e+00    1.17166e+21    2.36212e+15    1.95570e+09    0.00000e+00
    1.16400e-06    7.69994e+27    0.00000e+00    1.23961e+21    2.80683e+15    2.15483e+09    0.00000e+00
    1.22500e-06    7.27662e+27    0.00000e+00    1.67764e+21    3.28766e+15    2.37813e+09    0.00000e+00
    1.28900e-06    6.91254e+27    0.00000e+00    1.82507e+21    3.88750e+15    2.62409e+09    0.00000e+00
    1.35600e-06    6.51177e+27    0.00000e+00    1.95107e+21    4.62316e+15    2.89386e+09    0.00000e+00
    1.42700e-06    6.24933e+27    0.00000e+00    2.62409e+21    5.38907e+15    3.19350e+09    0.00000e+00
    1.50100e-06    5.91805e+27    0.00000e+00    2.85850e+21    6.39626e+15    3.52127e+09    0.00000e+00
    1.57900e-06    5.67679e+27    0.00000e+00    3.07759e+21    7.53871e+15    3.88314e+09    0.00000e+00
    1.66100e-06    5.40036e+27    0.00000e+00    4.08721e+21    8.78233e+15    4.28195e+09    0.00000e+00
    1.74800e-06    5.11606e+27    0.00000e+00    4.08402e+21    1.04271e+16    4.72588e+09    0.00000e+00
    1.83900e-06    4.93926e+27    0.00000e+00    5.20316e+21    1.22147e+16    5.21241e+09    0.00000e+00
    1.93500e-06    4.65505e+27    0.00000e+00    6.01322e+21    1.42276e+16    5.75065e+09    0.00000e+00
    2.03500e-06    4.43635e+27    0.00000e+00    6.40020e+21    1.62393e+16    6.33870e+09    0.00000e+00
    2.14100e-06    4.22828e+27    0.00000e+00    8.41649e+21    1.94925e+16    6.99154e+09    0.00000e+00
    2.25300e-06    4.02749e+27    0.00000e+00    9.30688e+21    2.32277e+16    7.71523e+09    0.00000e+00
    2.37000e-06    3.83989e+27    0.00000e+00    9.99144e+21    2.64047e+16    8.50800e+09    0.00000e+00
    2.49300e-06    3.68049e+27    0.00000e+00    1.30219e+22    3.08609e+16    9.38090e+09    0.00000e+00
    2.62300e-06    3.45972e+27    0.00000e+00    1.43872e+22    3.69530e+16    1.03490e+10    0.00000e+00
    2.76000e-06    3.29976e+27    0.00000e+00    1.52572e+22    4.20432e+16    1.14185e+10    0.00000e+00
    2.90400e-06    3.16718e+27    0.00000e+00    2.01347e+22    4.91623e+16    1.25963e+10    0.00000e+00
    3.05500e-06    3.01644e+27    0.00000e+00    2.23939e+22    5.80749e+16    1.38926e+10    0.00000e+00
    3.21400e-06    2.88315e+27    0.00000e+00    2.33440e+22    6.74258e+16    1.53230e+10    0.00000e+00
    3.38100e-06    2.74451e+27    0.00000e+00    3.11594e+22    7.80584e+16    1.68967e+10    0.00000e+00
    3.55700e-06    2.62129e+27    0.00000e+00    3.40009e+22    9.18558e+16    1.86379e+10    0.00000e+00
    3.74200e-06    2.48579e+27    0.00000e+00    3.60613e+22    1.06578e+17    2.05554e+10    0.00000e+00
    3.93700e-06    2.35776e+27    0.00000e+00    4.77201e+22    1.23227e+17    2.26730e+10    0.00000e+00
    4.14200e-06    2.24120e+27    0.00000e+00    5.15249e+22    1.44527e+17    2.50101e+10    0.00000e+00
    4.35800e-06    2.12528e+27    0.00000e+00    5.52016e+22    1.68916e+17    2.75900e+10    0.00000e+00
    4.58500e-06    2.03438e+27    0.00000e+00    7.24447e+22    1.94854e+17    3.04314e+10    0.00000e+00
    4.82400e-06    1.91126e+27    0.00000e+00    7.83105e+22    2.27208e+17    3.35715e+10    0.00000e+00
    5.07500e-06    1.85504e+27    0.00000e+00    8.46009e+22    2.66362e+17    3.70262e+10    0.00000e+00
    5.33900e-06    1.75814e+27    0.00000e+00    1.09895e+23    3.06589e+17    4.08350e+10    0.00000e+00
    5.61700e-06    1.67999e+27    0.00000e+00    1.33260e+23    3.58711e+17    4.50434e+10    0.00000e+00
    5.90900e-06    1.60422e+27    0.00000e+00    2.11886e+23    4.17736e+17    4.96738e+10    0.00000e+00
    6.21700e-06    1.53275e+27    0.00000e+00    2.13978e+23    4.81361e+17    5.47953e+10    0.00000e+00
    6.54100e-06    1.45768e+27    0.00000e+00    1.78004e+23    5.46708e+17    6.04469e+10    0.00000e+00
    6.88100e-06    1.38878e+27    0.00000e+00    2.24195e+23    6.50503e+17    6.66595e+10    0.00000e+00
    7.24000e-06    1.32049e+27    0.00000e+00    2.48876e+23    7.68123e+17    7.35400e+10    0.00000e+00
    7.61700e-06    1.25703e+27    0.00000e+00    2.68241e+23    8.69140e+17    8.11178e+10    0.00000e+00
    8.01300e-06    1.19006e+27    0.00000e+00    3.34355e+23    1.11890e+18    8.94556e+10    0.00000e+00
    8.43000e-06    1.12942e+27    0.00000e+00    3.67941e+23    1.43246e+18    9.86670e+10    0.00000e+00
    8.86900e-06    1.08259e+27    0.00000e+00    3.92534e+23    1.63005e+18    1.08834e+11    0.00000e+00
    9.33100e-06    1.02841e+27    0.00000e+00    4.88906e+23    1.95279e+18    1.20042e+11    0.00000e+00
    9.81700e-06    9.82303e+26    0.00000e+00    5.39033e+23    2.41009e+18    1.32416e+11    0.00000e+00
    1.03300e-05    9.37232e+26    0.00000e+00    5.68683e+23    2.71943e+18    1.46107e+11    0.00000e+00
    1.08700e-05    8.96558e+26    0.00000e+00    6.57195e+23    3.21461e+18    1.61207e+11    0.00000e+00
    1.14300e-05    8.53318e+26    0.00000e+00    7.54102e+23    3.89727e+18    1.77642e+11    0.00000e+00
    1.20300e-05    8.15062e+26    0.00000e+00    7.40278e+23    4.43829e+18    1.96092e+11    0.00000e+00
    1.26500e-05    7.78248e+26    0.00000e+00    8.55972e+23    5.17590e+18    2.16065e+11    0.00000e+00
    1.33100e-05    7.33776e+26    0.00000e+00    9.41015e+23    6.31194e+18    2.38382e+11    0.00000e+00
    1.40100e-05    7.01534e+26    0.00000e+00    1.01465e+24    7.20865e+18    2.63187e+11    0.00000e+00
    1.47300e-05    6.65058e+26    0.00000e+00    1.23957e+24    8.45534e+18    2.89920e+11    0.00000e+00
