energies,photon,gluon,higgs,W,Z,neutrino,electron,muon,tau,up,down,charm,strange,top,bottom,graviton
5e-07,3456240000000.0,0.0,0.0,0.0,0.0,6.71916e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20480.8
5.07315e-07,3606260000000.0,0.0,0.0,0.0,0.0,6.9103e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22034.2
5.14736e-07,3762790000000.0,0.0,0.0,0.0,0.0,7.10688e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23705.4
5.22266e-07,3926110000000.0,0.0,0.0,0.0,0.0,7.30905e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25503.4
5.29907e-07,4096530000000.0,0.0,0.0,0.0,0.0,7.51697e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27437.7
5.37659e-07,4274340000000.0,0.0,0.0,0.0,0.0,7.73081e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29518.7
5.45524e-07,4459870000000.0,0.0,0.0,0.0,0.0,7.95073e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31757.6
5.53505e-07,4653460000000.0,0.0,0.0,0.0,0.0,8.1769e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34166.3
5.61602e-07,4855440000000.0,0.0,0.0,0.0,0.0,8.40951e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36757.7
5.69818e-07,5066200000000.0,0.0,0.0,0.0,0.0,8.64874e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39545.7
5.78154e-07,5286100000000.0,0.0,0.0,0.0,0.0,8.89477e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42545.1
5.86612e-07,5515540000000.0,0.0,0.0,0.0,0.0,9.1478e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45772.0
5.95193e-07,5754950000000.0,0.0,0.0,0.0,0.0,9.40803e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49243.6
6.03901e-07,6004750000000.0,0.0,0.0,0.0,0.0,9.67567e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52978.6
6.12735e-07,6265390000000.0,0.0,0.0,0.0,0.0,9.95091e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56996.8
6.21699e-07,6537340000000.0,0.0,0.0,0.0,0.0,1.0234e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61319.8
6.30794e-07,6821100000000.0,0.0,0.0,0.0,0.0,1.05251e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65970.7
6.40022e-07,7117170000000.0,0.0,0.0,0.0,0.0,1.08245e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70974.4
6.49385e-07,7426100000000.0,0.0,0.0,0.0,0.0,1.11325e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76357.5
6.58885e-07,7748430000000.0,0.0,0.0,0.0,0.0,1.14491e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82149.0
6.68524e-07,8084760000000.0,0.0,0.0,0.0,0.0,1.17748e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88379.7
6.78304e-07,8435680000000.0,0.0,0.0,0.0,0.0,1.21098e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95083.0
6.88227e-07,8801840000000.0,0.0,0.0,0.0,0.0,1.24543e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102295.0
